Training 0.00 %,Trainning accuracy = 18.000001%, loss = 2.2903 
Training 59.85 %,Trainning accuracy = 90.000004%, loss = 0.2704 
Training 59.90 %,Trainning accuracy = 90.000004%, loss = 0.1759 
Training 59.95 %,Trainning accuracy = 87.999994%, loss = 0.2374 
Training 60.00 %,Trainning accuracy = 94.000000%, loss = 0.2363 
Training 60.05 %,Trainning accuracy = 92.000002%, loss = 0.2657 
Training 60.10 %,Trainning accuracy = 83.999997%, loss = 0.3422 
Training 60.15 %,Trainning accuracy = 90.000004%, loss = 0.3645 
Training 60.20 %,Trainning accuracy = 89.999998%, loss = 0.2913 
Training 60.25 %,Trainning accuracy = 92.000002%, loss = 0.3999 
Training 60.30 %,Trainning accuracy = 95.999998%, loss = 0.1654 
Training 60.35 %,Trainning accuracy = 89.999998%, loss = 0.3680 
Training 60.40 %,Trainning accuracy = 92.000002%, loss = 0.1836 
Training 60.45 %,Trainning accuracy = 86.000001%, loss = 0.3516 
Training 60.50 %,Trainning accuracy = 89.999998%, loss = 0.2687 
Training 60.55 %,Trainning accuracy = 85.999995%, loss = 0.3713 
Training 60.60 %,Trainning accuracy = 88.000000%, loss = 0.3919 
Training 60.65 %,Trainning accuracy = 83.999997%, loss = 0.4919 
Training 60.70 %,Trainning accuracy = 92.000002%, loss = 0.2671 
Training 60.75 %,Trainning accuracy = 98.000002%, loss = 0.0992 
Training 60.80 %,Trainning accuracy = 95.999998%, loss = 0.1923 
Training 60.85 %,Trainning accuracy = 89.999998%, loss = 0.1923 
Training 60.90 %,Trainning accuracy = 88.000000%, loss = 0.2819 
Training 60.95 %,Trainning accuracy = 89.999998%, loss = 0.2619 
Training 61.00 %,Trainning accuracy = 94.000000%, loss = 0.1878 
Training 61.05 %,Trainning accuracy = 94.000000%, loss = 0.2315 
Training 61.10 %,Trainning accuracy = 90.000004%, loss = 0.2669 
Training 61.15 %,Trainning accuracy = 96.000004%, loss = 0.1270 
Training 61.20 %,Trainning accuracy = 84.000003%, loss = 0.4502 
Training 61.25 %,Trainning accuracy = 88.000000%, loss = 0.2986 
Training 61.30 %,Trainning accuracy = 86.000001%, loss = 0.4247 
Training 61.35 %,Trainning accuracy = 94.000000%, loss = 0.1764 
Training 61.40 %,Trainning accuracy = 83.999997%, loss = 0.3210 
Training 61.45 %,Trainning accuracy = 86.000001%, loss = 0.3186 
Training 61.50 %,Trainning accuracy = 92.000002%, loss = 0.2087 
Training 61.55 %,Trainning accuracy = 95.999998%, loss = 0.1588 
Training 61.60 %,Trainning accuracy = 86.000001%, loss = 0.4929 
Training 61.65 %,Trainning accuracy = 92.000002%, loss = 0.3059 
Training 61.70 %,Trainning accuracy = 94.000000%, loss = 0.1962 
Training 61.75 %,Trainning accuracy = 92.000002%, loss = 0.1721 
Training 61.80 %,Trainning accuracy = 89.999998%, loss = 0.4478 
Training 61.85 %,Trainning accuracy = 92.000002%, loss = 0.2131 
Training 61.90 %,Trainning accuracy = 94.000000%, loss = 0.1903 
Training 61.95 %,Trainning accuracy = 87.999994%, loss = 0.3245 
Training 62.00 %,Trainning accuracy = 92.000002%, loss = 0.2116 
Training 62.05 %,Trainning accuracy = 83.999997%, loss = 0.3537 
Training 62.10 %,Trainning accuracy = 98.000002%, loss = 0.1378 
Training 62.15 %,Trainning accuracy = 96.000004%, loss = 0.1477 
Training 62.20 %,Trainning accuracy = 94.000000%, loss = 0.2154 
Training 62.25 %,Trainning accuracy = 89.999998%, loss = 0.2348 
Training 62.30 %,Trainning accuracy = 88.000000%, loss = 0.2430 
Training 62.35 %,Trainning accuracy = 83.999997%, loss = 0.3296 
Training 62.40 %,Trainning accuracy = 89.999998%, loss = 0.2847 
Training 62.45 %,Trainning accuracy = 88.000000%, loss = 0.3726 
Training 62.50 %,Trainning accuracy = 94.000000%, loss = 0.1774 
Training 62.55 %,Trainning accuracy = 91.999996%, loss = 0.1931 
Training 62.60 %,Trainning accuracy = 83.999997%, loss = 0.3929 
Training 62.65 %,Trainning accuracy = 89.999998%, loss = 0.2612 
Training 62.70 %,Trainning accuracy = 94.000000%, loss = 0.2798 
Training 62.75 %,Trainning accuracy = 92.000002%, loss = 0.1788 
Training 62.80 %,Trainning accuracy = 90.000004%, loss = 0.2607 
Training 62.85 %,Trainning accuracy = 89.999998%, loss = 0.2559 
Training 62.90 %,Trainning accuracy = 96.000004%, loss = 0.1860 
Training 62.95 %,Trainning accuracy = 94.000000%, loss = 0.1949 
Training 63.00 %,Trainning accuracy = 91.999996%, loss = 0.1647 
Training 63.05 %,Trainning accuracy = 89.999998%, loss = 0.2744 
Training 63.10 %,Trainning accuracy = 85.999995%, loss = 0.3593 
Training 63.15 %,Trainning accuracy = 89.999998%, loss = 0.2702 
Training 63.20 %,Trainning accuracy = 86.000001%, loss = 0.2845 
Training 63.25 %,Trainning accuracy = 84.000003%, loss = 0.3931 
Training 63.30 %,Trainning accuracy = 81.999999%, loss = 0.5161 
Training 63.35 %,Trainning accuracy = 98.000002%, loss = 0.1091 
Training 63.40 %,Trainning accuracy = 79.999995%, loss = 0.4519 
Training 63.45 %,Trainning accuracy = 95.999998%, loss = 0.1925 
Training 63.50 %,Trainning accuracy = 91.999996%, loss = 0.2806 
Training 63.55 %,Trainning accuracy = 88.000000%, loss = 0.2294 
Training 63.60 %,Trainning accuracy = 91.999996%, loss = 0.2945 
Training 63.65 %,Trainning accuracy = 91.999996%, loss = 0.1861 
Training 63.70 %,Trainning accuracy = 86.000001%, loss = 0.2825 
Training 63.75 %,Trainning accuracy = 91.999996%, loss = 0.2212 
Training 63.80 %,Trainning accuracy = 86.000001%, loss = 0.3097 
Training 63.85 %,Trainning accuracy = 77.999997%, loss = 0.5748 
Training 63.90 %,Trainning accuracy = 94.000000%, loss = 0.2513 
Training 63.95 %,Trainning accuracy = 92.000002%, loss = 0.1956 
Training 64.00 %,Trainning accuracy = 86.000001%, loss = 0.3583 
Training 64.05 %,Trainning accuracy = 86.000001%, loss = 0.3541 
Training 64.10 %,Trainning accuracy = 92.000002%, loss = 0.2459 
Training 64.15 %,Trainning accuracy = 90.000004%, loss = 0.3119 
Training 64.20 %,Trainning accuracy = 94.000006%, loss = 0.2647 
Training 64.25 %,Trainning accuracy = 94.000000%, loss = 0.2240 
Training 64.30 %,Trainning accuracy = 90.000004%, loss = 0.2949 
Training 64.35 %,Trainning accuracy = 92.000002%, loss = 0.3145 
Training 64.40 %,Trainning accuracy = 86.000001%, loss = 0.2673 
Training 64.45 %,Trainning accuracy = 89.999998%, loss = 0.2406 
Training 64.50 %,Trainning accuracy = 90.000004%, loss = 0.2842 
Training 64.55 %,Trainning accuracy = 79.999995%, loss = 0.6269 
Training 64.60 %,Trainning accuracy = 89.999998%, loss = 0.2171 
Training 64.65 %,Trainning accuracy = 83.999997%, loss = 0.3462 
Training 64.70 %,Trainning accuracy = 91.999996%, loss = 0.3276 
Training 64.75 %,Trainning accuracy = 95.999998%, loss = 0.2166 
Training 64.80 %,Trainning accuracy = 92.000002%, loss = 0.2371 
Training 64.85 %,Trainning accuracy = 84.000003%, loss = 0.3557 
Training 64.90 %,Trainning accuracy = 84.000003%, loss = 0.5432 
Training 64.95 %,Trainning accuracy = 90.000004%, loss = 0.4547 
Training 65.00 %,Trainning accuracy = 89.999998%, loss = 0.2258 
Training 65.05 %,Trainning accuracy = 91.999996%, loss = 0.1752 
Training 65.10 %,Trainning accuracy = 88.000000%, loss = 0.2335 
Training 65.15 %,Trainning accuracy = 88.000000%, loss = 0.1788 
Training 65.20 %,Trainning accuracy = 94.000000%, loss = 0.1763 
Training 65.25 %,Trainning accuracy = 93.999994%, loss = 0.2068 
Training 65.30 %,Trainning accuracy = 89.999998%, loss = 0.2915 
Training 65.35 %,Trainning accuracy = 89.999998%, loss = 0.2459 
Training 65.40 %,Trainning accuracy = 85.999995%, loss = 0.3892 
Training 65.45 %,Trainning accuracy = 88.000000%, loss = 0.2703 
Training 65.50 %,Trainning accuracy = 84.000003%, loss = 0.3992 
Training 65.55 %,Trainning accuracy = 89.999998%, loss = 0.3187 
Training 65.60 %,Trainning accuracy = 92.000002%, loss = 0.2998 
Training 65.65 %,Trainning accuracy = 94.000000%, loss = 0.2549 
Training 65.70 %,Trainning accuracy = 95.999998%, loss = 0.2081 
Training 65.75 %,Trainning accuracy = 88.000000%, loss = 0.2686 
Training 65.80 %,Trainning accuracy = 90.000004%, loss = 0.1929 
Training 65.85 %,Trainning accuracy = 88.000000%, loss = 0.2908 
Training 65.90 %,Trainning accuracy = 88.000000%, loss = 0.3646 
Training 65.95 %,Trainning accuracy = 92.000002%, loss = 0.2388 
Training 66.00 %,Trainning accuracy = 94.000000%, loss = 0.1861 
Training 66.05 %,Trainning accuracy = 92.000002%, loss = 0.2967 
Training 66.10 %,Trainning accuracy = 89.999998%, loss = 0.2353 
Training 66.15 %,Trainning accuracy = 94.000000%, loss = 0.2061 
Training 66.20 %,Trainning accuracy = 96.000004%, loss = 0.1595 
Training 66.25 %,Trainning accuracy = 85.999995%, loss = 0.3487 
Training 66.30 %,Trainning accuracy = 98.000002%, loss = 0.1159 
Training 66.35 %,Trainning accuracy = 86.000001%, loss = 0.2984 
Training 66.40 %,Trainning accuracy = 85.999995%, loss = 0.2835 
Training 66.45 %,Trainning accuracy = 88.000000%, loss = 0.2988 
Training 66.50 %,Trainning accuracy = 92.000002%, loss = 0.2267 
Training 66.55 %,Trainning accuracy = 84.000003%, loss = 0.3200 
Training 66.60 %,Trainning accuracy = 91.999996%, loss = 0.1903 
Training 66.65 %,Trainning accuracy = 92.000002%, loss = 0.2454 
Training 66.70 %,Trainning accuracy = 89.999998%, loss = 0.2687 
Training 66.75 %,Trainning accuracy = 93.999994%, loss = 0.2117 
Training 66.80 %,Trainning accuracy = 92.000002%, loss = 0.2586 
Training 66.85 %,Trainning accuracy = 93.999994%, loss = 0.1906 
Training 66.90 %,Trainning accuracy = 94.000006%, loss = 0.2344 
Training 66.95 %,Trainning accuracy = 84.000003%, loss = 0.2828 
Training 67.00 %,Trainning accuracy = 88.000000%, loss = 0.2457 
Training 67.05 %,Trainning accuracy = 96.000004%, loss = 0.1335 
Training 67.10 %,Trainning accuracy = 95.999998%, loss = 0.1338 
Training 67.15 %,Trainning accuracy = 92.000002%, loss = 0.3063 
Training 67.20 %,Trainning accuracy = 95.999998%, loss = 0.1664 
Training 67.25 %,Trainning accuracy = 92.000002%, loss = 0.2631 
Training 67.30 %,Trainning accuracy = 85.999995%, loss = 0.3040 
Training 67.35 %,Trainning accuracy = 83.999991%, loss = 0.3780 
Training 67.40 %,Trainning accuracy = 91.999996%, loss = 0.2578 
Training 67.45 %,Trainning accuracy = 98.000002%, loss = 0.1183 
Training 67.50 %,Trainning accuracy = 95.999998%, loss = 0.1265 
Training 67.55 %,Trainning accuracy = 92.000002%, loss = 0.3347 
Training 67.60 %,Trainning accuracy = 95.999998%, loss = 0.1722 
Training 67.65 %,Trainning accuracy = 88.000000%, loss = 0.2578 
Training 67.70 %,Trainning accuracy = 81.999993%, loss = 0.4377 
Training 67.75 %,Trainning accuracy = 98.000002%, loss = 0.1017 
Training 67.80 %,Trainning accuracy = 95.999998%, loss = 0.1407 
Training 67.85 %,Trainning accuracy = 96.000004%, loss = 0.1657 
Training 67.90 %,Trainning accuracy = 91.999996%, loss = 0.3409 
Training 67.95 %,Trainning accuracy = 89.999998%, loss = 0.3359 
Training 68.00 %,Trainning accuracy = 93.999994%, loss = 0.2570 
Training 68.05 %,Trainning accuracy = 88.000000%, loss = 0.3259 
Training 68.10 %,Trainning accuracy = 88.000000%, loss = 0.2808 
Training 68.15 %,Trainning accuracy = 89.999998%, loss = 0.2894 
Training 68.20 %,Trainning accuracy = 90.000004%, loss = 0.1955 
Training 68.25 %,Trainning accuracy = 95.999998%, loss = 0.2176 
Training 68.30 %,Trainning accuracy = 89.999998%, loss = 0.2311 
Training 68.35 %,Trainning accuracy = 86.000001%, loss = 0.3594 
Training 68.40 %,Trainning accuracy = 89.999998%, loss = 0.2188 
Training 68.45 %,Trainning accuracy = 89.999998%, loss = 0.2380 
Training 68.50 %,Trainning accuracy = 94.000006%, loss = 0.1307 
Training 68.55 %,Trainning accuracy = 98.000002%, loss = 0.0900 
Training 68.60 %,Trainning accuracy = 85.999995%, loss = 0.4425 
Training 68.65 %,Trainning accuracy = 91.999996%, loss = 0.3034 
Training 68.70 %,Trainning accuracy = 94.000000%, loss = 0.1905 
Training 68.75 %,Trainning accuracy = 95.999998%, loss = 0.1969 
Training 68.80 %,Trainning accuracy = 92.000002%, loss = 0.2700 
Training 68.85 %,Trainning accuracy = 86.000001%, loss = 0.3385 
Training 68.90 %,Trainning accuracy = 94.000000%, loss = 0.1724 
Training 68.95 %,Trainning accuracy = 88.000000%, loss = 0.3576 
Training 69.00 %,Trainning accuracy = 92.000002%, loss = 0.1844 
Training 69.05 %,Trainning accuracy = 96.000004%, loss = 0.2599 
Training 69.10 %,Trainning accuracy = 93.999994%, loss = 0.2391 
Training 69.15 %,Trainning accuracy = 92.000002%, loss = 0.1725 
Training 69.20 %,Trainning accuracy = 94.000000%, loss = 0.1868 
Training 69.25 %,Trainning accuracy = 91.999996%, loss = 0.2479 
Training 69.30 %,Trainning accuracy = 94.000000%, loss = 0.2215 
Training 69.35 %,Trainning accuracy = 94.000006%, loss = 0.1718 
Training 69.40 %,Trainning accuracy = 95.999998%, loss = 0.1335 
Training 69.45 %,Trainning accuracy = 94.000000%, loss = 0.1884 
Training 69.50 %,Trainning accuracy = 90.000004%, loss = 0.2554 
Training 69.55 %,Trainning accuracy = 89.999998%, loss = 0.3355 
Training 69.60 %,Trainning accuracy = 92.000002%, loss = 0.2010 
Training 69.65 %,Trainning accuracy = 86.000001%, loss = 0.4702 
Training 69.70 %,Trainning accuracy = 94.000000%, loss = 0.1891 
Training 69.75 %,Trainning accuracy = 85.999995%, loss = 0.4220 
Training 69.80 %,Trainning accuracy = 88.000000%, loss = 0.2911 
Training 69.85 %,Trainning accuracy = 92.000002%, loss = 0.2244 
Training 69.90 %,Trainning accuracy = 85.999995%, loss = 0.3027 
Training 69.95 %,Trainning accuracy = 86.000001%, loss = 0.3364 
Training 70.00 %,Trainning accuracy = 90.000004%, loss = 0.2974 
Training 70.05 %,Trainning accuracy = 89.999998%, loss = 0.2852 
Training 70.10 %,Trainning accuracy = 81.999993%, loss = 0.3572 
Training 70.15 %,Trainning accuracy = 94.000000%, loss = 0.1886 
Training 70.20 %,Trainning accuracy = 85.999995%, loss = 0.2889 
Training 70.25 %,Trainning accuracy = 96.000004%, loss = 0.1551 
Training 70.30 %,Trainning accuracy = 94.000000%, loss = 0.2555 
Training 70.35 %,Trainning accuracy = 89.999998%, loss = 0.2772 
Training 70.40 %,Trainning accuracy = 94.000006%, loss = 0.2154 
Training 70.45 %,Trainning accuracy = 91.999996%, loss = 0.2807 
Training 70.50 %,Trainning accuracy = 86.000001%, loss = 0.3821 
Training 70.55 %,Trainning accuracy = 85.999995%, loss = 0.3613 
Training 70.60 %,Trainning accuracy = 86.000001%, loss = 0.2412 
Training 70.65 %,Trainning accuracy = 90.000004%, loss = 0.1862 
Training 70.70 %,Trainning accuracy = 95.999998%, loss = 0.2104 
Training 70.75 %,Trainning accuracy = 88.000005%, loss = 0.3207 
Training 70.80 %,Trainning accuracy = 94.000000%, loss = 0.2415 
Training 70.85 %,Trainning accuracy = 86.000001%, loss = 0.3960 
Training 70.90 %,Trainning accuracy = 88.000000%, loss = 0.2862 
Training 70.95 %,Trainning accuracy = 95.999998%, loss = 0.2818 
Training 71.00 %,Trainning accuracy = 89.999998%, loss = 0.1974 
Training 71.05 %,Trainning accuracy = 94.000000%, loss = 0.1992 
Training 71.10 %,Trainning accuracy = 91.999996%, loss = 0.1818 
Training 71.15 %,Trainning accuracy = 94.000000%, loss = 0.1483 
Training 71.20 %,Trainning accuracy = 94.000000%, loss = 0.3067 
Training 71.25 %,Trainning accuracy = 87.999994%, loss = 0.3133 
Training 71.30 %,Trainning accuracy = 92.000002%, loss = 0.3242 
Training 71.35 %,Trainning accuracy = 91.999996%, loss = 0.2274 
Training 71.40 %,Trainning accuracy = 94.000000%, loss = 0.2460 
Training 71.45 %,Trainning accuracy = 87.999994%, loss = 0.3684 
Training 71.50 %,Trainning accuracy = 94.000000%, loss = 0.1106 
Training 71.55 %,Trainning accuracy = 94.000000%, loss = 0.1726 
Training 71.60 %,Trainning accuracy = 86.000001%, loss = 0.3138 
Training 71.65 %,Trainning accuracy = 89.999998%, loss = 0.2197 
Training 71.70 %,Trainning accuracy = 96.000004%, loss = 0.1357 
Training 71.75 %,Trainning accuracy = 98.000002%, loss = 0.0994 
Training 71.80 %,Trainning accuracy = 95.999998%, loss = 0.1213 
Training 71.85 %,Trainning accuracy = 92.000002%, loss = 0.2068 
Training 71.90 %,Trainning accuracy = 90.000004%, loss = 0.2805 
Training 71.95 %,Trainning accuracy = 88.000000%, loss = 0.1995 
Training 72.00 %,Trainning accuracy = 97.999996%, loss = 0.0695 
Training 72.05 %,Trainning accuracy = 90.000004%, loss = 0.2042 
Training 72.10 %,Trainning accuracy = 89.999998%, loss = 0.2456 
Training 72.15 %,Trainning accuracy = 88.000000%, loss = 0.3597 
Training 72.20 %,Trainning accuracy = 89.999998%, loss = 0.3075 
Training 72.25 %,Trainning accuracy = 92.000002%, loss = 0.2066 
Training 72.30 %,Trainning accuracy = 96.000004%, loss = 0.1441 
Training 72.35 %,Trainning accuracy = 86.000001%, loss = 0.4598 
Training 72.40 %,Trainning accuracy = 98.000002%, loss = 0.1481 
Training 72.45 %,Trainning accuracy = 85.999995%, loss = 0.3769 
Training 72.50 %,Trainning accuracy = 90.000004%, loss = 0.3419 
Training 72.55 %,Trainning accuracy = 86.000001%, loss = 0.3128 
Training 72.60 %,Trainning accuracy = 95.999998%, loss = 0.1159 
Training 72.65 %,Trainning accuracy = 88.000000%, loss = 0.2829 
Training 72.70 %,Trainning accuracy = 87.999994%, loss = 0.4479 
Training 72.75 %,Trainning accuracy = 95.999998%, loss = 0.1301 
Training 72.80 %,Trainning accuracy = 94.000000%, loss = 0.1626 
Training 72.85 %,Trainning accuracy = 89.999998%, loss = 0.2815 
Training 72.90 %,Trainning accuracy = 90.000004%, loss = 0.3172 
Training 72.95 %,Trainning accuracy = 92.000002%, loss = 0.3253 
Training 73.00 %,Trainning accuracy = 89.999998%, loss = 0.2164 
Training 73.05 %,Trainning accuracy = 94.000000%, loss = 0.1925 
Training 73.10 %,Trainning accuracy = 89.999998%, loss = 0.1906 
Training 73.15 %,Trainning accuracy = 94.000000%, loss = 0.1215 
Training 73.20 %,Trainning accuracy = 95.999998%, loss = 0.1398 
Training 73.25 %,Trainning accuracy = 89.999998%, loss = 0.3081 
Training 73.30 %,Trainning accuracy = 94.000006%, loss = 0.1477 
Training 73.35 %,Trainning accuracy = 89.999998%, loss = 0.2161 
Training 73.40 %,Trainning accuracy = 86.000001%, loss = 0.3132 
Training 73.45 %,Trainning accuracy = 92.000002%, loss = 0.1959 
Training 73.50 %,Trainning accuracy = 90.000004%, loss = 0.2413 
Training 73.55 %,Trainning accuracy = 98.000002%, loss = 0.1086 
Training 73.60 %,Trainning accuracy = 92.000002%, loss = 0.2049 
Training 73.65 %,Trainning accuracy = 90.000004%, loss = 0.2506 
Training 73.70 %,Trainning accuracy = 89.999998%, loss = 0.2385 
Training 73.75 %,Trainning accuracy = 89.999998%, loss = 0.2812 
Training 73.80 %,Trainning accuracy = 89.999998%, loss = 0.2363 
Training 73.85 %,Trainning accuracy = 81.999999%, loss = 0.3887 
Training 73.90 %,Trainning accuracy = 94.000000%, loss = 0.1875 
Training 73.95 %,Trainning accuracy = 91.999996%, loss = 0.1917 
Training 74.00 %,Trainning accuracy = 89.999998%, loss = 0.2581 
Training 74.05 %,Trainning accuracy = 92.000002%, loss = 0.2285 
Training 74.10 %,Trainning accuracy = 90.000004%, loss = 0.2227 
Training 74.15 %,Trainning accuracy = 91.999996%, loss = 0.2631 
Training 74.20 %,Trainning accuracy = 95.999998%, loss = 0.1441 
Training 74.25 %,Trainning accuracy = 90.000004%, loss = 0.2946 
Training 74.30 %,Trainning accuracy = 86.000001%, loss = 0.2707 
Training 74.35 %,Trainning accuracy = 88.000000%, loss = 0.3038 
Training 74.40 %,Trainning accuracy = 91.999996%, loss = 0.2462 
Training 74.45 %,Trainning accuracy = 88.000000%, loss = 0.3812 
Training 74.50 %,Trainning accuracy = 94.000000%, loss = 0.2011 
Training 74.55 %,Trainning accuracy = 94.000000%, loss = 0.1950 
Training 74.60 %,Trainning accuracy = 95.999998%, loss = 0.1714 
Training 74.65 %,Trainning accuracy = 97.999996%, loss = 0.1435 
Training 74.70 %,Trainning accuracy = 95.999998%, loss = 0.2496 
Training 74.75 %,Trainning accuracy = 98.000002%, loss = 0.0910 
Training 74.80 %,Trainning accuracy = 94.000000%, loss = 0.1900 
Training 74.85 %,Trainning accuracy = 87.999994%, loss = 0.1903 
Training 74.90 %,Trainning accuracy = 89.999998%, loss = 0.2239 
Training 74.95 %,Trainning accuracy = 92.000002%, loss = 0.2564 
Training 75.00 %,Trainning accuracy = 88.000005%, loss = 0.2963 
Training 75.05 %,Trainning accuracy = 94.000000%, loss = 0.1934 
Training 75.10 %,Trainning accuracy = 88.000000%, loss = 0.3376 
Training 75.15 %,Trainning accuracy = 92.000002%, loss = 0.1834 
Training 75.20 %,Trainning accuracy = 92.000002%, loss = 0.2325 
Training 75.25 %,Trainning accuracy = 86.000001%, loss = 0.2978 
Training 75.30 %,Trainning accuracy = 96.000004%, loss = 0.1724 
Training 75.35 %,Trainning accuracy = 88.000000%, loss = 0.2372 
Training 75.40 %,Trainning accuracy = 95.999998%, loss = 0.1847 
Training 75.45 %,Trainning accuracy = 92.000002%, loss = 0.3125 
Training 75.50 %,Trainning accuracy = 96.000004%, loss = 0.1427 
Training 75.55 %,Trainning accuracy = 92.000002%, loss = 0.2272 
Training 75.60 %,Trainning accuracy = 97.999996%, loss = 0.0760 
Training 75.65 %,Trainning accuracy = 81.999999%, loss = 0.3606 
Training 75.70 %,Trainning accuracy = 87.999994%, loss = 0.2938 
Training 75.75 %,Trainning accuracy = 88.000000%, loss = 0.2298 
Training 75.80 %,Trainning accuracy = 98.000002%, loss = 0.1571 
Training 75.85 %,Trainning accuracy = 94.000000%, loss = 0.2724 
Training 75.90 %,Trainning accuracy = 95.999998%, loss = 0.1452 
Training 75.95 %,Trainning accuracy = 90.000004%, loss = 0.2929 
Training 76.00 %,Trainning accuracy = 91.999996%, loss = 0.2275 
Training 76.05 %,Trainning accuracy = 92.000002%, loss = 0.3116 
Training 76.10 %,Trainning accuracy = 96.000004%, loss = 0.1261 
Training 76.15 %,Trainning accuracy = 89.999998%, loss = 0.2582 
Training 76.20 %,Trainning accuracy = 94.000000%, loss = 0.1815 
Training 76.25 %,Trainning accuracy = 96.000004%, loss = 0.1301 
Training 76.30 %,Trainning accuracy = 95.999998%, loss = 0.1474 
Training 76.35 %,Trainning accuracy = 92.000002%, loss = 0.2083 
Training 76.40 %,Trainning accuracy = 92.000002%, loss = 0.2149 
Training 76.45 %,Trainning accuracy = 94.000000%, loss = 0.2231 
Training 76.50 %,Trainning accuracy = 94.000000%, loss = 0.1878 
Training 76.55 %,Trainning accuracy = 98.000002%, loss = 0.1254 
Training 76.60 %,Trainning accuracy = 88.000000%, loss = 0.2793 
Training 76.65 %,Trainning accuracy = 94.000000%, loss = 0.2437 
Training 76.70 %,Trainning accuracy = 94.000006%, loss = 0.1339 
Training 76.75 %,Trainning accuracy = 94.000000%, loss = 0.2314 
Training 76.80 %,Trainning accuracy = 96.000004%, loss = 0.1836 
Training 76.85 %,Trainning accuracy = 92.000002%, loss = 0.2105 
Training 76.90 %,Trainning accuracy = 90.000004%, loss = 0.3079 
Training 76.95 %,Trainning accuracy = 95.999998%, loss = 0.1718 
Training 77.00 %,Trainning accuracy = 95.999998%, loss = 0.1303 
Training 77.05 %,Trainning accuracy = 92.000002%, loss = 0.4040 
Training 77.10 %,Trainning accuracy = 94.000000%, loss = 0.1451 
Training 77.15 %,Trainning accuracy = 95.999998%, loss = 0.1494 
Training 77.20 %,Trainning accuracy = 95.999998%, loss = 0.1151 
Training 77.25 %,Trainning accuracy = 90.000004%, loss = 0.1786 
Training 77.30 %,Trainning accuracy = 89.999998%, loss = 0.3440 
Training 77.35 %,Trainning accuracy = 88.000005%, loss = 0.2587 
Training 77.40 %,Trainning accuracy = 94.000000%, loss = 0.1692 
Training 77.45 %,Trainning accuracy = 89.999998%, loss = 0.3161 
Training 77.50 %,Trainning accuracy = 94.000000%, loss = 0.1678 
Training 77.55 %,Trainning accuracy = 92.000002%, loss = 0.2616 
Training 77.60 %,Trainning accuracy = 95.999998%, loss = 0.1569 
Training 77.65 %,Trainning accuracy = 92.000002%, loss = 0.2017 
Training 77.70 %,Trainning accuracy = 89.999998%, loss = 0.2533 
Training 77.75 %,Trainning accuracy = 92.000002%, loss = 0.2659 
Training 77.80 %,Trainning accuracy = 94.000000%, loss = 0.2660 
Training 77.85 %,Trainning accuracy = 92.000002%, loss = 0.2198 
Training 77.90 %,Trainning accuracy = 94.000000%, loss = 0.2005 
Training 77.95 %,Trainning accuracy = 89.999998%, loss = 0.4281 
Training 78.00 %,Trainning accuracy = 94.000000%, loss = 0.2067 
Training 78.05 %,Trainning accuracy = 88.000000%, loss = 0.3029 
Training 78.10 %,Trainning accuracy = 94.000000%, loss = 0.1585 
Training 78.15 %,Trainning accuracy = 92.000002%, loss = 0.2326 
Training 78.20 %,Trainning accuracy = 94.000000%, loss = 0.1388 
Training 78.25 %,Trainning accuracy = 89.999998%, loss = 0.3503 
Training 78.30 %,Trainning accuracy = 88.000005%, loss = 0.3826 
Training 78.35 %,Trainning accuracy = 88.000000%, loss = 0.3399 
Training 78.40 %,Trainning accuracy = 92.000002%, loss = 0.5585 
Training 78.45 %,Trainning accuracy = 92.000002%, loss = 0.2265 
Training 78.50 %,Trainning accuracy = 84.000003%, loss = 0.3503 
Training 78.55 %,Trainning accuracy = 90.000004%, loss = 0.2369 
Training 78.60 %,Trainning accuracy = 98.000002%, loss = 0.1636 
Training 78.65 %,Trainning accuracy = 92.000002%, loss = 0.1852 
Training 78.70 %,Trainning accuracy = 90.000004%, loss = 0.2655 
Training 78.75 %,Trainning accuracy = 92.000002%, loss = 0.1448 
Training 78.80 %,Trainning accuracy = 94.000006%, loss = 0.2288 
Training 78.85 %,Trainning accuracy = 92.000002%, loss = 0.1966 
Training 78.90 %,Trainning accuracy = 96.000004%, loss = 0.1817 
Training 78.95 %,Trainning accuracy = 98.000002%, loss = 0.1175 
Training 79.00 %,Trainning accuracy = 92.000002%, loss = 0.1672 
Training 79.05 %,Trainning accuracy = 88.000000%, loss = 0.3814 
Training 79.10 %,Trainning accuracy = 96.000004%, loss = 0.2154 
Training 79.15 %,Trainning accuracy = 89.999998%, loss = 0.1972 
Training 79.20 %,Trainning accuracy = 94.000006%, loss = 0.1787 
Training 79.25 %,Trainning accuracy = 83.999997%, loss = 0.3428 
Training 79.30 %,Trainning accuracy = 92.000002%, loss = 0.2578 
Training 79.35 %,Trainning accuracy = 90.000004%, loss = 0.2547 
Training 79.40 %,Trainning accuracy = 88.000005%, loss = 0.3136 
Training 79.45 %,Trainning accuracy = 92.000002%, loss = 0.2471 
Training 79.50 %,Trainning accuracy = 89.999998%, loss = 0.2935 
Training 79.55 %,Trainning accuracy = 95.999998%, loss = 0.2496 
Training 79.60 %,Trainning accuracy = 91.999996%, loss = 0.2576 
Training 79.65 %,Trainning accuracy = 100.000000%, loss = 0.0711 
Training 79.70 %,Trainning accuracy = 94.000000%, loss = 0.2020 
Training 79.75 %,Trainning accuracy = 92.000002%, loss = 0.1977 
